Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~PCB_Project1.PrjPCB|ReportField=ProjectFullPath~C:\Users\Public\Documents\Altium\PCB_Project1.PrjPCB|ReportField=Title~Bill of Materials For Project [PCB_Project1.PrjPCB] (No PCB Document Selected)|ReportField=ReportTime~2:58:34 AM|ReportField=ReportDate~11/14/2018|ReportField=ReportDateTime~11/14/2018 2:58:34 AM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=TotalQuantity~14|ReportField=TotalActualPrice~0|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~11/14/2018|ReportField=CurrentTime~12:14:37 AM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\Public\Documents\Altium\Sheet1.SchDoc|ReportField=DocumentName~Sheet1.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~11/14/2018|ReportField=Organization~|ReportField=ProjectName~PCB_Project1.PrjPCB|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~PCB_Project1.PrjPCB|ReportField=DataSourceFullPath~C:\Users\Public\Documents\Altium\PCB_Project1.PrjPCB|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|Header 2|Header, 2-Pin|9V, LEDs|HDR1X2|Header 2|2
2|ATTINY85-20SU|MICROCHIP - ATTINY85-20SU - MICROCONTROLLER MCU, 8 BIT, ATTINY, 20MHZ, SOIC-8|B1|SOT127P798X216-8N|ATTINY85-20SU|1
3|0.47uF|Multilayer Ceramic Capacitors MLCC - SMD/SMT 0805 0.47uF 50volts X7R 10%|C1, C3|CAPC2012X145N|GRM21BR71H474KA88L|2
4|0.1uF|Multilayer Ceramic Capacitors MLCC - SMD/SMT 0805 0.47uF 50volts X7R 10%|C2|CAPC2012X145N|GRM21BR71H474KA88L|1
5|Diode 1N914|High Conductance Fast Diode|D1|DO-35|Diode 1N914|1
6|Header 6|Header, 6-Pin|Prg|HDR1X6|Header 6|1
7|2N7000|N-channel MOSFET,2N7000 0.2A 60V|Q1|TO-92_(TO-226)|2N7000|1
8|Res3|Resistor|R1, R2, R4|J1-0603|Res3|3
9|SW-PB|Switch|S1|SPST-2|SW-PB|1
10|LM78L05|Voltage regulator,LM78L05ACZ 5V LM78L05ACZ/NOPB, Voltage Regulator, 0.1A 5 V,|VR1|LP0003A|LM78L05|1
